signal id;x;y;time;signal state
exampleSignal6;-5020.0;0.0;27150.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;27150.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;27150.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;27150.0;GREEN
exampleSignal6;-5020.0;0.0;27180.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;27180.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;27180.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;27180.0;RED
exampleSignal6;-5020.0;0.0;27210.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;27210.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;27210.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;27210.0;GREEN
exampleSignal6;-5020.0;0.0;27240.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;27240.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;27240.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;27240.0;RED
exampleSignal6;-5020.0;0.0;27270.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;27270.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;27270.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;27270.0;GREEN
exampleSignal6;-5020.0;0.0;27300.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;27300.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;27300.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;27300.0;RED
exampleSignal6;-5020.0;0.0;27330.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;27330.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;27330.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;27330.0;GREEN
exampleSignal6;-5020.0;0.0;27360.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;27360.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;27360.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;27360.0;RED
exampleSignal6;-5020.0;0.0;27390.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;27390.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;27390.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;27390.0;GREEN
exampleSignal6;-5020.0;0.0;27420.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;27420.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;27420.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;27420.0;RED
exampleSignal6;-5020.0;0.0;27450.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;27450.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;27450.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;27450.0;GREEN
exampleSignal6;-5020.0;0.0;27480.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;27480.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;27480.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;27480.0;RED
exampleSignal6;-5020.0;0.0;27510.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;27510.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;27510.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;27510.0;GREEN
exampleSignal6;-5020.0;0.0;27540.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;27540.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;27540.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;27540.0;RED
exampleSignal6;-5020.0;0.0;27570.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;27570.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;27570.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;27570.0;GREEN
exampleSignal6;-5020.0;0.0;27600.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;27600.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;27600.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;27600.0;RED
exampleSignal6;-5020.0;0.0;27630.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;27630.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;27630.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;27630.0;GREEN
exampleSignal6;-5020.0;0.0;27660.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;27660.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;27660.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;27660.0;RED
exampleSignal6;-5020.0;0.0;27690.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;27690.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;27690.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;27690.0;GREEN
exampleSignal6;-5020.0;0.0;27720.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;27720.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;27720.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;27720.0;RED
exampleSignal6;-5020.0;0.0;27750.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;27750.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;27750.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;27750.0;GREEN
exampleSignal6;-5020.0;0.0;27780.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;27780.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;27780.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;27780.0;RED
exampleSignal6;-5020.0;0.0;27810.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;27810.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;27810.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;27810.0;GREEN
exampleSignal6;-5020.0;0.0;27840.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;27840.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;27840.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;27840.0;RED
exampleSignal6;-5020.0;0.0;27870.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;27870.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;27870.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;27870.0;GREEN
exampleSignal6;-5020.0;0.0;27900.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;27900.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;27900.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;27900.0;RED
exampleSignal6;-5020.0;0.0;27930.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;27930.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;27930.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;27930.0;GREEN
exampleSignal6;-5020.0;0.0;27960.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;27960.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;27960.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;27960.0;RED
exampleSignal6;-5020.0;0.0;27990.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;27990.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;27990.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;27990.0;GREEN
exampleSignal6;-5020.0;0.0;28020.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;28020.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;28020.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;28020.0;RED
exampleSignal6;-5020.0;0.0;28050.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;28050.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;28050.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;28050.0;GREEN
exampleSignal6;-5020.0;0.0;28080.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;28080.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;28080.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;28080.0;RED
exampleSignal6;-5020.0;0.0;28110.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;28110.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;28110.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;28110.0;GREEN
exampleSignal6;-5020.0;0.0;28140.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;28140.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;28140.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;28140.0;RED
exampleSignal6;-5020.0;0.0;28170.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;28170.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;28170.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;28170.0;GREEN
exampleSignal6;-5020.0;0.0;28200.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;28200.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;28200.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;28200.0;RED
exampleSignal6;-5020.0;0.0;28230.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;28230.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;28230.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;28230.0;GREEN
exampleSignal6;-5020.0;0.0;28260.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;28260.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;28260.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;28260.0;RED
exampleSignal6;-5020.0;0.0;28290.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;28290.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;28290.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;28290.0;GREEN
exampleSignal6;-5020.0;0.0;28320.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;28320.0;GREEN
