2018-05-30 11:11:01,229 |  INFO  | 3132 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/routedetails],methods=[GET]}" onto public net.contargo.iris.route.api.RouteResponse net.contargo.iris.route.api.RouteEnricherApiController.getEnrichedRoute(net.contargo.iris.connection.dto.RouteDto,java.lang.String,org.springframework.ui.Model)
2018-05-30 11:11:01,235 |  INFO  | 3138 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/routerevisions],methods=[GET],params=[terminalUid && latitude && longitude]}" onto public org.springframework.http.ResponseEntity<net.contargo.iris.routedatarevision.dto.RouteDataRevisionDto> net.contargo.iris.routedatarevision.api.RouteDataRevisionApiController.get(java.lang.String,net.contargo.iris.GeoLocation,java.util.Date)
2018-05-30 11:11:01,235 |  INFO  | 3138 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/routerevisions/{id}],methods=[PUT]}" onto public org.springframework.http.ResponseEntity<net.contargo.iris.routedatarevision.dto.RouteDataRevisionDto> net.contargo.iris.routedatarevision.api.RouteDataRevisionApiController.update(net.contargo.iris.routedatarevision.dto.RouteDataRevisionDto,long)
2018-05-30 11:11:01,235 |  INFO  | 3138 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/routerevisions],methods=[POST]}" onto public org.springframework.http.ResponseEntity<net.contargo.iris.routedatarevision.dto.RouteDataRevisionDto> net.contargo.iris.routedatarevision.api.RouteDataRevisionApiController.create(net.contargo.iris.routedatarevision.dto.RouteDataRevisionDto)
2018-05-30 11:11:01,237 |  INFO  | 3140 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/transports/single],methods=[POST]}" onto public net.contargo.iris.transport.api.TransportResponseDto net.contargo.iris.transport.api.TransportApiController.route(net.contargo.iris.transport.api.TransportDescriptionDto)
2018-05-30 11:11:01,239 |  INFO  | 3142 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/transports/all],methods=[POST]}" onto public java.util.List<net.contargo.iris.transport.api.TransportResponseDto> net.contargo.iris.transport.api.TransportApiController.producePossibleTransportDescriptions(net.contargo.iris.transport.api.TransportTemplateDto)
2018-05-30 11:11:01,240 |  INFO  | 3143 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api-docs],methods=[GET]}" onto public org.springframework.http.ResponseEntity<com.mangofactory.swagger.models.dto.ResourceListing> com.mangofactory.swagger.controllers.DefaultSwaggerController.getResourceListing(java.lang.String)
2018-05-30 11:11:01,241 |  INFO  | 3144 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api-docs/{swaggerGroup}/{apiDeclaration}],methods=[GET]}" onto public org.springframework.http.ResponseEntity<com.mangofactory.swagger.models.dto.ApiListing> com.mangofactory.swagger.controllers.DefaultSwaggerController.getApiListing(java.lang.String,java.lang.String)
2018-05-30 11:11:01,288 |  INFO  | 3191 [main] | o.h.validator.internal.util.Version - HV000001: Hibernate Validator 4.3.2.Final
2018-05-30 11:11:01,640 |  INFO  | 3543 [main] | o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@5e1a5f: startup date [Wed May 30 11:10:59 CEST 2018]; root of context hierarchy
2018-05-30 11:11:01,698 |  INFO  | 3601 [main] | o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@5e1a5f: startup date [Wed May 30 11:10:59 CEST 2018]; root of context hierarchy
2018-05-30 11:11:01,727 |  INFO  | 3630 [main] | o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Detected @ExceptionHandler methods in restApiExceptionHandler
2018-05-30 11:11:02,349 |  INFO  | 4252 [main] | o.s.b.a.e.m.EndpointHandlerMapping - Mapped "{[/health || /health.json],produces=[application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.HealthMvcEndpoint.invoke(java.security.Principal)
2018-05-30 11:11:02,350 |  INFO  | 4253 [main] | o.s.b.a.e.m.EndpointHandlerMapping - Mapped "{[/info || /info.json],methods=[GET],produces=[application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2018-05-30 11:11:02,492 |  INFO  | 4395 [main] | o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@5e1a5f: startup date [Wed May 30 11:10:59 CEST 2018]; root of context hierarchy
2018-05-30 11:11:02,521 |  INFO  | 4424 [main] | o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0'
