2018-04-16 09:17:02 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - TVSubtitlesNet - Evaluated Game of Thrones 2x01 (720p HDTV.IMMERSE) - score = 20
2018-04-16 09:17:02 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - TVSubtitlesNet - Evaluated Game of Thrones 2x01 (HDTV) - score = 6
2018-04-16 09:17:02 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - TVSubtitlesNet - Evaluated Game of Thrones 2x01 (HDTV.NoTV) - score = 6
2018-04-16 09:17:03 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - TVSubtitlesNet - Evaluated Game of Thrones - 2x01 - The North Remembers.720p HDTV.IMMERSE.fr.srt - score = 20
2018-04-16 09:17:03 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - TVSubtitlesNet - Evaluated Feud 1x04 (HDTV.FLEET) - score = 20
2018-04-16 09:17:04 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - TVSubtitlesNet - Evaluated Feud - 1x04 - More  or Less.HDTV.FLEET.hu.srt - score = 20
2018-04-16 09:17:04 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - TVSubtitlesNet - Evaluated Scream Queens 2x01 (HDTV) - score = 6
2018-04-16 09:17:04 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - TVSubtitlesNet - Evaluated Scream Queens 2x01 (HDTV) - score = 6
2018-04-16 09:17:04 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - TVSubtitlesNet - Evaluated Scream Queens - 2x01 - Scream Again.HDTV.de.srt - score = 6
2018-04-16 09:17:05 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Podnapisi - Evaluated Game.Of.Thrones.S02E01.WEB-DL-iTunes - score = 1
2018-04-16 09:17:05 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Podnapisi - Evaluated Game.Of.Thrones.S02E01.HDTV.XviD-FQM - score = 6
2018-04-16 09:17:05 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Podnapisi - Evaluated Game.of.Thrones.S02E01.HDTV.x264-ASAP - score = 6
2018-04-16 09:17:05 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Podnapisi - Evaluated Game.Of.Thrones.S02E01.HDTV.XviD-FQM - score = 6
2018-04-16 09:17:05 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Podnapisi - Evaluated Game.of.Thrones.S02E01.HDTV.x264-ASAP - score = 6
2018-04-16 09:17:05 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Podnapisi - Evaluated Game.of.Thrones.S02E01.HDTV.x264-ASAP - score = 6
2018-04-16 09:17:05 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Podnapisi - Evaluated Game.of.Thrones.S02E01.HDTV.x264-ASAP - score = 6
2018-04-16 09:17:05 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Podnapisi - Evaluated Game.Of.Thrones.S02E01.HDTV.XviD-FQM - score = 6
2018-04-16 09:17:05 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Podnapisi - Evaluated Game.Of.Thrones.S02E01.HDTV.XviD-FQM - score = 6
2018-04-16 09:17:05 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Podnapisi - Evaluated Game.of.Thrones.S02E01.HDTV.x264-ASAP - score = 6
2018-04-16 09:17:05 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Podnapisi - Evaluated Game.of.Thrones.S02E01.HDTV.x264-ASAP - score = 6
2018-04-16 09:17:05 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Podnapisi - Evaluated Game.Of.Thrones.S02E01.HDTV.XviD-FQM - score = 6
2018-04-16 09:17:05 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Podnapisi - Evaluated Game.of.Thrones.S02E01.HDTV.x264-ASAP - score = 6
2018-04-16 09:17:05 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Podnapisi - Evaluated Game.of.Thrones.S02E01.HDTV.x264-ASAP - score = 6
2018-04-16 09:17:06 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Podnapisi - Evaluated american.crime.story.s01e01.720p.bluray.x264-mayhem - score = 1
2018-04-16 09:17:06 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Podnapisi - Evaluated American.Crime.Story.S01E01.INTERNAL.HDTV.XviD-FUM - score = 6
2018-04-16 09:17:06 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Podnapisi - Evaluated American.Crime.Story.S01E01.HDTV.x264-2HD - score = 6
2018-04-16 09:17:06 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Podnapisi - Evaluated American.Crime.Story.S01E01.HDTV.x264-2HD - score = 6
2018-04-16 09:17:06 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Podnapisi - Evaluated American.Crime.S01E01.HDTV.x264-LOL - score = 20
2018-04-16 09:17:06 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Podnapisi - Evaluated Scream.Queens.2015.S02E01.HDTV.XviD-FUM - score = 6
2018-04-16 09:17:06 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Podnapisi - Evaluated Scream Queens - 2x01 - Scream Again.720p HDTV.AVS+AFG.fr - score = 20
2018-04-16 09:17:06 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Podnapisi - Evaluated Scream.Queens.2015.S02E01.HDTV.XviD-FUM - score = 6
2018-04-16 09:17:07 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - USub - Evaluated Game.of.Thrones.201.hdtv.asap.720p.imm.euchd.ebp.VF.NoTAG.srt - score = 6
2018-04-16 09:17:07 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - USub - Evaluated Game.of.Thrones.201.hdtv.asap.720p.imm.euchd.ebp.VF.TAG.ass - score = 6
2018-04-16 09:17:07 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - USub - Evaluated Game.of.Thrones.201.hdtv.asap.720p.imm.euchd.ebp.VF.TAG.srt - score = 6
2018-04-16 09:17:07 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - USub - Evaluated Game.of.Thrones.201.hdtv.fqm.VF.NoTAG.srt - score = 6
2018-04-16 09:17:07 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - USub - Evaluated Game.of.Thrones.201.hdtv.fqm.VF.TAG.ass - score = 6
2018-04-16 09:17:07 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - USub - Evaluated Game.of.Thrones.201.hdtv.fqm.VF.TAG.srt - score = 6
2018-04-16 09:17:08 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - USub - Evaluated Modern.Family.904.720p.1080p.amzn.FR.TAG.srt - score = 1
2018-04-16 09:17:08 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - USub - Evaluated Modern.Family.904.720p.1080p.amzn.FR.ass - score = 1
2018-04-16 09:17:08 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - USub - Evaluated Modern.Family.904.720p.1080p.amzn.FR.NoTAG.srt - score = 1
2018-04-16 09:17:08 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - USub - Evaluated Modern.Family.904.720p.avs.FR.ass - score = 1
2018-04-16 09:17:08 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - USub - Evaluated Modern.Family.904.720p.avs.FR.NoTAG.srt - score = 1
2018-04-16 09:17:08 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - USub - Evaluated Modern.Family.904.sva.FR.NoTAG.srt - score = 1
2018-04-16 09:17:08 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - USub - Evaluated Modern.Family.904.sva.FR.ass - score = 1
2018-04-16 09:17:08 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - USub - Evaluated Modern.Family.904.sva.FR.TAG.srt - score = 1
2018-04-16 09:17:08 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - USub - Evaluated Modern.Family.904.720p.avs.FR.TAG.srt - score = 1
2018-04-16 09:17:08 [main] INFO  org.reflections.Reflections - Reflections took 68 ms to scan 2 urls, producing 11 keys and 32 values 
2018-04-16 09:17:08 [main] INFO  c.g.m.subtitles.DownloadForFolder - Parsing source folder /root/workspace/mozvip/subtitles-finder/367014736/target/test-classes/video_folder
2018-04-16 09:17:08 [main] INFO  c.g.m.subtitles.SubtitleDownloader - Handling file.avi
2018-04-16 09:17:08 [main] INFO  c.g.m.subtitles.SubtitleDownloader - Searching for subtitles for /root/workspace/mozvip/subtitles-finder/367014736/target/test-classes/video_folder/file.avi, release = null, source = null, lang = fr
2018-04-16 09:17:08 [main] INFO  c.g.m.subtitles.SubtitleDownloader - == Searching with com.github.mozvip.subtitles.providers.OpenSubtitlesOrg
2018-04-16 09:17:10 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Podnapisi - Evaluated the-berlin-file-2013-vo-1080p-dts-hd-ma-bluray-remux-x264-sopath93-french-subtitle - score = 1
2018-04-16 09:17:10 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Podnapisi - Evaluated The.Hitman.File.[www.calorifix.net].v01.2005.12.19.srt - score = 1
2018-04-16 09:17:10 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Podnapisi - Evaluated The Ipcress File (1965).French.srt - score = 1
2018-04-16 09:17:11 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Podnapisi - Evaluated Odessa.French.srt - score = 1
2018-04-16 09:17:11 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Podnapisi - Evaluated The Odessa File (FRE).sub - score = 1
2018-04-16 09:17:11 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Podnapisi - Evaluated The odessa file - 25.000 Le dossier Odessa VO - corrig� par {LuSS}.srt - score = 1
2018-04-16 09:17:11 [main] INFO  c.g.m.subtitles.DownloadForFolder - Successfully subtitled /root/workspace/mozvip/subtitles-finder/367014736/target/test-classes/video_folder/file.avi in fr
2018-04-16 09:17:11 [main] INFO  c.g.m.subtitles.SubtitleDownloader - Handling Feud.S01E08.PROPER.720p.HDTV.x264-KILLERS[eztv].mkv
2018-04-16 09:17:11 [main] INFO  c.g.m.subtitles.SubtitleDownloader - Searching for subtitles for /root/workspace/mozvip/subtitles-finder/367014736/target/test-classes/video_folder/Feud.S01E08.PROPER.720p.HDTV.x264-KILLERS[eztv].mkv, release = KILLERS, source = HDTV, lang = fr
2018-04-16 09:17:11 [main] INFO  c.g.m.subtitles.SubtitleDownloader - == Searching with com.github.mozvip.subtitles.providers.OpenSubtitlesOrg
2018-04-16 09:17:11 [main] INFO  c.g.m.subtitles.SubtitleDownloader - == Searching with com.github.mozvip.subtitles.providers.BetaSeries
2018-04-16 09:17:12 [main] INFO  c.g.m.subtitles.SubtitleDownloader - == Searching with com.github.mozvip.subtitles.providers.TVSubtitlesNet
2018-04-16 09:17:12 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - TVSubtitlesNet - Evaluated Feud 1x08 (HDTV.FLEET) - score = 6
2018-04-16 09:17:13 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - TVSubtitlesNet - Evaluated Feud - 1x08 - You Mean All This Time We Could Have Been Friends .HDTV.FLEET.fr.srt - score = 6
2018-04-16 09:17:13 [main] INFO  c.g.m.subtitles.SubtitleDownloader - == Searching with com.github.mozvip.subtitles.providers.Addic7ed
2018-04-16 09:17:13 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Addic7ed - Evaluated Version FLEET, 0.00 MBs  - score = 1
2018-04-16 09:17:13 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Addic7ed - Evaluated Version FLEET, 0.00 MBs  - score = 1
2018-04-16 09:17:14 [main] INFO  c.g.m.subtitles.SubtitleDownloader - == Searching with com.github.mozvip.subtitles.providers.USub
2018-04-16 09:17:14 [main] INFO  c.g.m.subtitles.SubtitleDownloader - == Searching with com.github.mozvip.subtitles.providers.TVSubs
2018-04-16 09:17:14 [main] INFO  c.g.m.subtitles.SubtitleDownloader - == Searching with com.github.mozvip.subtitles.providers.SousTitresEU
2018-04-16 09:17:16 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - SousTitresEU - Evaluated Feud.S01E08.PROPER.HDTV.x264-KILLERS.srt - score = 20
2018-04-16 09:17:16 [main] INFO  c.g.m.subtitles.SubtitleDownloader - == Searching with com.github.mozvip.subtitles.providers.Podnapisi
2018-04-16 09:17:17 [main] INFO  c.g.m.subtitles.DownloadForFolder - Successfully subtitled /root/workspace/mozvip/subtitles-finder/367014736/target/test-classes/video_folder/Feud.S01E08.PROPER.720p.HDTV.x264-KILLERS[eztv].mkv in fr
2018-04-16 09:17:17 [main] INFO  c.g.m.subtitles.SubtitleDownloader - Handling Feud.S01E03.720p.HDTV.x264-FLEET[eztv].mkv
2018-04-16 09:17:17 [main] INFO  c.g.m.subtitles.SubtitleDownloader - Searching for subtitles for /root/workspace/mozvip/subtitles-finder/367014736/target/test-classes/video_folder/Feud.S01E03.720p.HDTV.x264-FLEET[eztv].mkv, release = FLEET, source = HDTV, lang = fr
2018-04-16 09:17:17 [main] INFO  c.g.m.subtitles.SubtitleDownloader - == Searching with com.github.mozvip.subtitles.providers.OpenSubtitlesOrg
2018-04-16 09:17:17 [main] INFO  c.g.m.subtitles.SubtitleDownloader - == Searching with com.github.mozvip.subtitles.providers.BetaSeries
2018-04-16 09:17:17 [main] INFO  c.g.m.subtitles.SubtitleDownloader - == Searching with com.github.mozvip.subtitles.providers.TVSubtitlesNet
2018-04-16 09:17:18 [main] INFO  c.g.m.subtitles.SubtitleDownloader - == Searching with com.github.mozvip.subtitles.providers.Addic7ed
2018-04-16 09:17:18 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Addic7ed - Evaluated Version FLEET, 0.00 MBs  - score = 15
2018-04-16 09:17:18 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Addic7ed - Evaluated Version FLEET, 0.00 MBs  - score = 15
2018-04-16 09:17:18 [main] INFO  c.g.m.subtitles.SubtitleDownloader - == Searching with com.github.mozvip.subtitles.providers.USub
2018-04-16 09:17:19 [main] INFO  c.g.m.subtitles.SubtitleDownloader - == Searching with com.github.mozvip.subtitles.providers.TVSubs
2018-04-16 09:17:19 [main] INFO  c.g.m.subtitles.SubtitleDownloader - == Searching with com.github.mozvip.subtitles.providers.SousTitresEU
2018-04-16 09:17:19 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - SousTitresEU - Evaluated Feud.S01E03.HDTV.x264-FLEET.srt - score = 20
2018-04-16 09:17:19 [main] INFO  c.g.m.subtitles.SubtitleDownloader - == Searching with com.github.mozvip.subtitles.providers.Podnapisi
2018-04-16 09:17:20 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Podnapisi - Evaluated Feud.S01E03.HDTV.x264-FLEET - score = 20
2018-04-16 09:17:20 [main] INFO  c.g.m.subtitles.DownloadForFolder - Successfully subtitled /root/workspace/mozvip/subtitles-finder/367014736/target/test-classes/video_folder/Feud.S01E03.720p.HDTV.x264-FLEET[eztv].mkv in fr
2018-04-16 09:17:20 [main] INFO  c.g.m.subtitles.SubtitleDownloader - Handling Wind.River.2017.1080p.BluRay.x264-GECKOS[rarbg].mkv
2018-04-16 09:17:20 [main] INFO  c.g.m.subtitles.SubtitleDownloader - Searching for subtitles for /root/workspace/mozvip/subtitles-finder/367014736/target/test-classes/video_folder/Wind.River.2017.1080p.BluRay.x264-GECKOS[rarbg].mkv, release = GECKOS, source = BLURAY, lang = fr
2018-04-16 09:17:20 [main] INFO  c.g.m.subtitles.SubtitleDownloader - == Searching with com.github.mozvip.subtitles.providers.OpenSubtitlesOrg
2018-04-16 09:17:20 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - ISubtitlesIN - Evaluated Wind.River.2017.BDRip.x264-GECKOS.Fr.srt - score = 20
2018-04-16 09:17:20 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - ISubtitlesIN - Evaluated isubtitles.net.txt - score = 1
2018-04-16 09:17:21 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - SousTitresEU - Evaluated Wind.River.2017.BDRip.x264-GECKOS.Fr.srt - score = 20
2018-04-16 09:17:21 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - SousTitresEU - Evaluated WIND.RIVER.2017.1080p.FRA.BLU-RAY.AVC.DTS-HD.MA.5.1-WiHD.Fr.srt - score = 6
2018-04-16 09:17:21 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - SousTitresEU - Evaluated Wind.River.2017.BDRip.x264-GECKOS.Fr.srt - score = 20
2018-04-16 09:17:21 [main] INFO  c.g.m.subtitles.DownloadForFolder - Successfully subtitled /root/workspace/mozvip/subtitles-finder/367014736/target/test-classes/video_folder/Wind.River.2017.1080p.BluRay.x264-GECKOS[rarbg].mkv in fr
2018-04-16 09:17:21 [main] INFO  c.g.m.subtitles.SubtitleDownloader - Handling SampleVideo_1280x720_1mb.mkv
2018-04-16 09:17:21 [main] INFO  c.g.m.subtitles.SubtitleDownloader - Searching for subtitles for /root/workspace/mozvip/subtitles-finder/367014736/target/test-classes/video_folder/SampleVideo_1280x720_1mb.mkv, release = null, source = null, lang = fr
2018-04-16 09:17:21 [main] INFO  c.g.m.subtitles.SubtitleDownloader - == Searching with com.github.mozvip.subtitles.providers.OpenSubtitlesOrg
